Date,AAPL,AMD,,,,,annual,
1994-05-31,0.2171953320503235,13.5,,,0.026017482,0.023164487,0.312209783,0.27797385
1994-06-30,0.1967749297618866,12.5,-0.094018606,-0.074074074,0.014120951,0.033962942,0.16945141,0.4075553
1994-07-31,0.25014543533325195,13.5,0.271226145,0.08,,,1.842473804,0.682051858
1994-08-31,0.2696402668952942,14.5,0.077933989,0.074074074,,,,
1994-09-30,0.25101181864738464,14.875,-0.0690863,0.025862069,,,,
1994-10-31,0.321798712,13.1875,0.282006217,-0.113445378,,,,
1994-11-30,0.27839162945747375,12.625,-0.134888926,-0.042654028,,,,
1994-12-31,0.29147034883499146,12.4375,0.046979571,-0.014851485,,,,
1995-01-31,0.3017467260360718,14.6875,0.035257024,0.180904523,,,,
1995-02-28,0.2960193455219269,15.1875,-0.018980754,0.034042553,,,,
1995-03-31,0.26416879892349243,16.9375,-0.107596166,0.115226337,,,,
1995-04-30,0.2866515517234802,18,0.085107526,0.062730627,,,,
1995-05-31,0.3123396933078766,16.5,0.089614521,-0.083333333,,,,
1995-06-30,0.3489752411842346,18.25,0.117293923,0.106060606,,,,
1995-07-31,0.33817237615585327,16.3125,-0.030955964,-0.106164384,,,,
1995-08-31,0.3240247070789337,16.875,-0.041835673,0.034482759,,,,
1995-09-30,0.28069525957107544,14.5625,-0.133722665,-0.137037037,,,,
1995-10-31,0.2736310660839081,11.75,-0.025166772,-0.193133047,,,,
1995-11-30,0.2881842255592346,10.25,0.053185333,-0.127659574,,,,
1995-12-31,0.24094055593013763,8.25,-0.163935654,-0.195121951,,,,
1996-01-31,0.20881541073322296,9.875,-0.133332245,0.196969697,,,,
1996-02-29,0.20787063241004944,9.6875,-0.004524466,-0.018987342,,,,
1996-03-31,0.185666025,8.6875,-0.106819359,-0.103225806,,,,
1996-04-30,0.1842488944530487,9.3125,-0.007632685,0.071942446,,,,
1996-05-31,0.19747695326805115,8.8125,0.071794508,-0.053691275,,,,
1996-06-30,0.158737451,6.8125,-0.196172271,-0.226950355,,,,
1996-07-31,0.16629669070243835,6.0625,0.047621023,-0.110091743,,,,
1996-08-31,0.18330401182174683,6.375,0.102270953,0.051546392,,,,
1996-09-30,0.16771386563777924,7.375,-0.085050764,0.156862745,,,,
1996-10-31,0.17385508120059967,8.875,0.03661722,0.203389831,,,,
1996-11-30,0.1823592334985733,12.125,0.048915178,0.366197183,,,,
1996-12-31,0.15779262781143188,12.875,-0.134715447,0.06185567,,,,
1997-01-31,0.1256674975156784,17.5625,-0.203590819,0.36407767,,,,
1997-02-28,0.12283226102590561,18,-0.022561414,0.024911032,,,,
1997-03-31,0.13794994354248047,20.75,0.12307583,0.152777778,,,,
1997-04-30,0.12850193679332733,21.25,-0.06848866,0.024096386,,,,
1997-05-31,0.1256674975156784,20,-0.022057561,-0.058823529,,,,
1997-06-30,0.10771455615758896,17.9375,-0.142860658,-0.103125,,,,
1997-07-31,0.13228115439414978,17.5625,0.228071294,-0.020905923,,,,
1997-08-31,0.16440622508525848,18.8125,0.242854478,0.071174377,,,,
1997-09-30,0.1639338582754135,16.28125,-0.002873169,-0.134551495,,,,
1997-10-31,0.12873810529708862,11.5,-0.214694837,-0.293666027,,,,
1997-11-30,0.1341707706451416,10.90625,0.042199358,-0.051630435,,,,
1997-12-31,0.099211305,8.875,-0.260559473,-0.186246418,,,,
1998-01-31,0.1384224146604538,10.09375,0.395228237,0.137323944,,,,
1998-02-28,0.17857997119426727,11.75,0.290108771,0.164086687,,,,
1998-03-31,0.20787063241004944,14.53125,0.164019856,0.236702128,,,,
1998-04-30,0.20692585408687592,13.875,-0.00454503,-0.04516129,,,,
1998-05-31,0.2012561559677124,9.78125,-0.02739966,-0.295045045,,,,
1998-06-30,0.216846302,8.53125,0.077464195,-0.127795527,,,,
1998-07-31,0.26172786951065063,8.625,0.206974096,0.010989011,,,,
1998-08-31,0.23574408888816833,6.5,-0.099277852,-0.246376812,,,,
1998-09-30,0.2881842255592346,9.28125,0.222445182,0.427884615,,,,
1998-10-31,0.2806248962879181,11.28125,-0.026230892,0.215488215,,,,
1998-11-30,0.24141287803649902,13.84375,-0.139731074,0.227146814,,,,
1998-12-31,0.3094431757926941,14.5,0.281800616,0.047404063,,,,
1999-01-31,0.31133347749710083,11.46875,0.00610872,-0.209051724,,,,
1999-02-28,0.2631451189517975,8.9375,-0.154780523,-0.220708447,,,,
1999-03-31,0.2716491222381592,7.75,0.032316781,-0.132867133,,,,
1999-04-30,0.34771016240119934,8.25,0.279997371,0.064516129,,,,
1999-05-31,0.33306488394737244,9.25,-0.042119213,0.121212121,,,,
1999-06-30,0.3500722646713257,9.03125,0.051063266,-0.023648649,,,,
1999-07-31,0.42093783617019653,8.6875,0.202431265,-0.038062284,,,,
1999-08-31,0.4932194948196411,10.34375,0.171715756,0.190647482,,,,
1999-09-30,0.4785742163658142,8.59375,-0.029693227,-0.16918429,,,,
1999-10-31,0.6056588888168335,9.90625,0.265548515,0.152727273,,,,
1999-11-30,0.7398297786712646,14.125,0.221528805,0.425867508,,,,
1999-12-31,0.7771519422531128,14.46875,0.05044696,0.024336283,,,,
2000-01-31,0.7842380404472351,18,0.009118034,0.244060475,,,,
2000-02-29,0.8664420247077942,19.75,0.104820195,0.097222222,,,,
2000-03-31,1.0265967845916748,29.5,0.184841865,0.493670886,,,,
2000-04-30,0.9377790093421936,43.75,-0.086516709,0.483050847,,,,
2000-05-31,0.634949803,40.875,-0.322921715,-0.065714286,,,,
2000-06-30,0.7917975783348083,38.625,0.247023897,-0.055045872,,,,
2000-07-31,0.7681756019592285,36,-0.029833353,-0.067961165,,,,
2000-08-31,0.9212440848350525,37.5,0.199262359,0.041666667,,,,
2000-09-30,0.3892841339111328,24,-0.57743649,-0.36,,,,
2000-10-31,0.29574254155158997,22.625,-0.240291305,-0.057291667,,,,
2000-11-30,0.2494446188211441,15.25,-0.156548065,-0.325966851,,,,
2000-12-31,0.2248779535293579,13.8125,-0.098485449,-0.094262295,,,,
2001-01-31,0.3269236981868744,24.600000381469727,0.453782788,0.780995503,,,,
2001-02-28,0.27590078115463257,21.5,-0.156069803,-0.126016274,,,,
2001-03-31,0.3336508572101593,26.540000915527344,0.209314652,0.234418647,,,,
2001-04-30,0.38535434007644653,31,0.154962835,0.168048189,,,,
2001-05-31,0.3016010522842407,28.25,-0.217340974,-0.088709677,,,,
2001-06-30,0.351490319,28.899999618530273,0.165414763,0.023008836,,,,
2001-07-31,0.28406471014022827,18.260000228881836,-0.191827783,-0.368166074,,,,
2001-08-31,0.28043609857559204,13.550000190734863,-0.012773891,-0.257940853,,,,
2001-09-30,0.23447756469249725,8.149999618530273,-0.163882375,-0.398524022,,,,
2001-10-31,0.26546910405158997,9.840000153,0.132172728,0.207362038,,,,
2001-11-30,0.32201001048088074,13.56000042,0.212984884,0.378048802,,,,
2001-12-31,0.33108052611351013,15.859999656677246,0.028168427,0.169616458,,,,
2002-01-31,0.3737136423587799,16.049999237060547,0.128769628,0.011979797,,,,
2002-02-28,0.32805725932121277,13.5,-0.122169431,-0.158878465,,,,
